Date,Year,HR,Position,Bout,With Whom,Notes
9/20/2014,2014,Dave Brawlings,HR,Diego Rollers at Swarm,"MVP The Jonslaught, JR",   worked great
10/18/2014,2014,Dave Brawlings,HR,The Hustle at Diego Rollers,"MVP Rachel, PTA",12 Rostered Officials; fewer than any other team
10/18/2014,2014,Dave Brawlings,HR,Swarm at Hard Corps,MVP Rush2Judge; BPR,   computers worked fine
10/25/2014,2014,The Jonslaught,JR,Superheros vs. Villains (JRs mixed teams OC & SD),w/ Frisky Dingo,
11/15/2014,2014,Dave Brawlings,HR,Swarm at Hustle,"MVP Saucy, PT","Computer system Kaput, went old school"
11/15/2014,2014,Dave Brawlings,HR,Diego Rollers at Hard Corps,"MVP Saucy for the TwoFer, PT","   Chrome cacheing bug, and buggy SB / PT interaction"
12/6/2014,2014,Dave Brawlings,HR/JR,Slice Girls at Juvenile Dollinquents,"MVP Karma, SB","Champs! Network problems, went old school"
12/6/2014,2014,Dave Brawlings,HR,Diego Rollers at Hard Corps,"MVP Dave, HR","   Crowd appeared, WIFI slowed to a crawl"
2/7/2015,2015,Dave Brawlings,HR,TTRB at Wildfires,"MVP Ric-A-Shea, computerized PT",No WIFI; everything worked much better wired
2/8/2015,2015,Hughes D. Force,PT,TTRB at LADD (Sparkle Ponies),w/Ric-A-Shea PTA and Mars as Backup,Computerized / All now wired
2/21/2015,2015,The Jonslaught,JR,OCRG JRs Black vs White,w/ Jules Infield,
2/21/2015,2015,The Jonslaught,BPR,Wildfires at Psycho Ex-Girlfriends,w/ Erin Judgement,
3/21/2015,2015,Erin Judgement,PT,Aftershockers at Dollinquents,w/ Cruel Howser,Computerized
3/21/2015,2015,Dave Brawlings,HR,Varsity Brawlers and Friends at Wildfires,All MVP Roster,Computerized
4/11/2015,2015,Sailor Jack,GE,JR. Ri-Ettes at Juvenile Dollinquents,,"Computerized, now the standard for home games"
4/11/2015,2015,Dave Brawlings,HR,LADD Doll Parts at Sparks,"MVP Saucy, PT",
5/23/2015,2015,Erin Judgement,GE,JRs Mashup from OC & ACDG,,
5/23/2015,2015,Erin Judgement,JR,Chorizo and Eggs Mashup,w/ Sailor Jack,
6/13/2015,2015,Dave Brawlings,HR/GE,Black vs. White JRs,"MVP Yatzi, SB","Only 11 Officials, but sadly only one OPR -- went fine."
6/13/2015,2015,Sailor Jack,JR,North County Derby Alliance at Sparks,w/ Kevin Youkillus,"12 Officials, went great."
8/22/2015,2015,Dave Brawlings,HR,Hard Corps at The Hustle,"MVP Ric-A-Shea, PT",
8/22/2015,2015,Sailor Jack,EYE,Swarm at Diego Rollers,"w/ The Jonslaught; MVP Rush2Judge, PR",
9/12/2015,2015,The Jonslaught,JR,The Hustle at Diego Rollers,w/ Sailor Jack,
9/12/2015,2015,Erin Judgement,GE,Hard Corps at Swarm,,
10/24/2015,2015,Erin Judgement,PT,The Hustle at Swarm,w/Ric-A-Shea,
10/24/2015,2015,Sailor Jack,JR,Diego Rollers at Hard Corps,w/Kevin Youkillus,
11/7/2015,2015,Rush2Judge,JR,Minor Assaults (AZDD) at Dollinquents,w/Sailor Jack,
11/7/2015,2015,The Jonslaught,PT,The Hustle at Hard Corps,w/Yatzi,
12/5/2015,2015,Rush2Judge,JR,QuadSquad at Dollinquents,"w/Sailor Jack; MVP Erin Judgement, GE",
12/5/2015,2015,Dave Brawlings,HR,Swarm at Diego Rollers,"MVP Yatzi, SB",
12/12/2015,2015,Hurtin' Ernie,JR,Dollinquents at LADD JRs,w/Abi Wan Kenobe,Ernie's last game...
1/30/2016,2016,Rush2Judge,FPR,Shark Bites at Dollinquents,w/Griffin,
1/30/2016,2016,Sailor Jack,JR,Sea Gals at Sparks,w/Justin Bibe,Sailor Jack's last game...
2/20/2016,2016,Rush2Judge,JR,CA Rollers at Sparks,w/Griffin,
2/20/2016,2016,Dave Brawlings,HR,TeamCO at Wildfires,MVP Death Perception and Ric-A-Shea PT/PTA,
4/23/2016,2016,Rush2Judge,JR,JRs mashup with Bay Area Spider Bites,w/D-Mann,
4/23/2016,2016,Erin Judgement,JR,Bay Area Black Widows at Sparks,w/Griffin,
5/7/2016,2016,Erin Judgement,JR,Ri-ettes at Wildfires,w/D-Mann,Erin's last game for a while...
6/18/2016,2016,Dave Brawlings,HR,TTRB Ravenettes at Sparks,MVP aGGona and Shea,
8/20/2016,2016,Rush2Judge,JR,CA Rollers at Sparks,w/D-Mann,
8/20/2016,2016,Erin Judgement,FPR,Tough Cookies at Wildfires,w/Rush2Judge,Erin's Back!
9/10/2016,2016,Rush2Judge,JR,JRsMarvel at JRsDC,w/Paff,
9/10/2016,2016,Erin Judgement,FPR,Marvel at DC,w/Rush2Judge,
10/22/2016,2016,Dave Brawlings,HR,Shark Bites at Dollinquents,MVP Cinnamon Pop Tart at SB,
10/22/2016,2016,Erin Judgement,FPR,Sea Gals at Sparks,w/Paff,
